description,name,protein,fat,carbohydrate,calories
"['GerberGoodStartSoy', 'Stage1', 'ready-to-feed']","Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",1.6,3.28,7.12,64.0
"['GerberGoodStartSoy', 'Stage1', 'powder', 'madewithtapwater']","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",1.6,3.28,7.12,64.0
"['GerberGoodStartSoy', 'Stage1', 'powder', 'madewithbottledwater']","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",1.6,3.28,7.12,64.0
"['GerberGoodStartSoy', 'Stage1', 'powder', 'madewithbabywater']","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",1.6,3.28,7.12,64.0
"['storebrand', 'soy']","Infant formula, store brand, soy",1.6,3.51,6.79,65.0
"['EnfamilNutramigen', 'ready-to-feed']","Infant formula, Enfamil Nutramigen, ready-to-feed",1.8,3.36,6.6,64.0
"['EnfamilNutramigen', 'powder', 'madewithwater']","Infant formula, Enfamil Nutramigen, powder, made with water",1.8,3.36,6.6,64.0
"['EnfamilPregestimil', 'ready-to-feed']","Infant formula, Enfamil Pregestimil, ready-to-feed",1.81,3.62,6.83,67.0
"['EnfamilPregestimil', 'powder', 'madewithwater']","Infant formula, Enfamil Pregestimil, powder, made with water",1.81,3.62,6.83,67.0
['aminoacids'],"Infant formula, amino acids",1.81,3.36,6.6,65.0
['lowiron'],"Infant formula, low iron",1.43,3.6,6.9,66.0
"['dry', 'notreconstituted', 'NSastofatcontent']","Milk, dry, not reconstituted, NS as to fat content",36.2,0.77,52.0,362
"['dry', 'notreconstituted', 'fatfree']","Milk, dry, not reconstituted, fat free (skim)",36.2,0.77,52.0,362
"['sweet', 'dry']","Whey, sweet, dry",12.9,1.07,74.5,353
['notreconstituted'],"Cocoa powder, not reconstituted",19.6,13.7,57.9,228
"['drymix', 'notreconstituted']","Chocolate beverage powder, dry mix, not reconstituted",4.55,2.27,90.3,400
"['light', 'drymix', 'notreconstituted']","Chocolate beverage powder, light, dry mix, not reconstituted",9.09,4.5,68.3,350
"['malted', 'drymix', 'notreconstituted']","Milk, malted, dry mix, not reconstituted",0.0,0.0,93.0,372
"['drymix', 'notreconstituted']","Strawberry beverage powder, dry mix, not reconstituted",0.1,0.2,99.1,389
"['NSastolight', 'heavy', 'orhalfandhalf']","Cream, NS as to light, heavy, or half and half",3.13,11.5,4.3,131
['light'],"Cream, light",2.96,19.1,3.66,195
['halfandhalf'],"Cream, half and half",3.13,11.5,4.3,131
"['halfandhalf', 'flavored']","Cream, half and half, flavored",3.07,11.3,4.5,130
"['halfandhalf', 'fatfree']","Cream, half and half, fat free",2.6,1.4,9.0,59.0
['heavy'],"Cream, heavy",2.84,36.1,2.84,340
['whipped'],"Cream, whipped",2.67,33.9,8.59,343
['NFS'],"Coffee creamer, NFS",1.0,9.97,11.4,136
['liquid'],"Coffee creamer, liquid",1.0,9.97,11.4,136
"['liquid', 'flavored']","Coffee creamer, liquid, flavored",0.69,13.5,35.1,251
"['liquid', 'fatfree']","Coffee creamer, liquid, fat free",0.8,3.5,9.1,71.0
"['liquid', 'fatfree', 'flavored']","Coffee creamer, liquid, fat free, flavored",0.6,2.7,31.7,154
"['liquid', 'fatfree', 'sugarfree', 'flavored']","Coffee creamer, liquid, fat free, sugar free, flavored",0.8,3.5,9.1,71.0
"['liquid', 'sugarfree', 'flavored']","Coffee creamer, liquid, sugar free, flavored",0.8,3.5,9.1,71.0
['powder'],"Coffee creamer, powder",2.48,32.9,59.3,529
"['powder', 'flavored']","Coffee creamer, powder, flavored",0.68,21.5,75.4,482
"['powder', 'fatfree']","Coffee creamer, powder, fat free",1.9,15.7,73.4,431
"['powder', 'fatfree', 'flavored']","Coffee creamer,powder, fat free, flavored",1.9,15.7,73.4,431
"['powder', 'sugarfree', 'flavored']","Coffee creamer,powder, sugar free, flavored",2.48,32.9,59.3,529
"['soy', 'liquid']","Coffee creamer, soy, liquid",1.0,9.97,11.4,136
[],Whipped topping,1.25,25.3,23.0,318
['fatfree'],"Whipped topping, fat free",3.0,13.1,23.6,224
['sugarfree'],"Whipped topping, sugar free",3.0,13.1,23.6,224
['regular'],"Sour cream, regular",2.44,19.4,4.63,198
['light'],"Sour cream, light",3.5,10.6,7.1,136
['fatfree'],"Sour cream, fat free",3.1,0.0,15.6,74.0
['imitation'],"Sour cream, imitation",2.4,19.5,6.63,208
['NFS'],"Dip, NFS",2.24,45.8,3.49,433
['regular'],"Chipotle dip, regular",1.69,45.7,2.7,427
['light'],"Chipotle dip, light",1.82,15.2,13.2,195
['regular'],"Onion dip, regular",1.9,36.3,3.56,347
['light'],"Onion dip, light",2.0,12.4,11.9,166
['regular'],"Ranch dip, regular",2.24,45.8,3.49,433
['light'],"Ranch dip, light",2.35,15.2,14.0,201
['regular'],"Spinach dip, regular",2.11,36.4,3.09,346
['light'],"Spinach dip, light",2.2,12.4,11.4,165
